lambda-u utility-finmean-conloop
0.0 7.092278347301334
0.1 6.964280173976046
0.2 6.876888762317137
0.3 6.845644988624305
0.4 6.810954851403093
0.5 6.813001159665552
0.6 6.823458693271607
0.7 6.864902561476107
0.8 6.873643727205103
0.9 7.033865557158598
1.0 6.99634539125812
1.0 3.5156632566630774
0.9 3.9169141787259987
0.8 4.335781101582736
0.7 4.648128543475455
0.6 4.996538839461514
0.5 5.275102855784244
0.4 5.545255646763389
0.3 5.826149928489133
0.2 6.033626203565824
0.1 6.197438469853156
0.0 6.293368390827067
