lambda-u utility-finmean-conloop
0.0 8.19379997566078
0.1 13.100177540281594
0.2 18.290513735798193
0.3 23.513686543735258
0.4 28.746385496216902
0.5 33.9831056975985
0.6 39.22189374456947
0.7 44.46188401142394
0.8 49.70263452706843
0.9 54.9438961928178
1.0 60.185517969621074
1.0 33.47062316837214
0.9 30.861052495892423
0.8 28.251121712358746
0.7 25.640679778720262
0.6 23.029477596291734
0.5 20.417073193979686
0.4 17.802600946078286
0.3 15.18410744927694
0.2 12.556087807931018
0.1 9.895231554164608
0.0 6.950416669502415
