lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 4.915277980000001 0.15958216486320306 10.0 rrtconnect-default-sc10.00
0.1 6.272207712943525 0.2966306719696126 2.5 rrtconnect-default-sc02.50
0.2 7.463504973887049 0.5045052119302218 1.6 rrtconnect-default-sc01.60
0.3 8.60838540083057 0.7240822489293331 1.6 rrtconnect-default-sc01.60
0.4 9.753265827774097 0.9488526267101186 1.6 rrtconnect-default-sc01.60
0.5 10.878039344717623 1.2034800974699371 1.0 rrtconnect-default-sc01.00
0.6 11.906941153661142 1.4251954307171166 1.0 rrtconnect-default-sc01.00
0.7 12.935842962604667 1.6481932987331638 1.0 rrtconnect-default-sc01.00
0.8 13.944592959548189 1.9009626327131135 0.63 rrtconnect-default-sc00.63
0.9 14.767238962491717 2.1266100212773615 0.25 rrtconnect-default-sc00.25
1.0 15.022548389435235 2.3211780056411806 0.0 rrtconnect-default-sc00.00
