lambda-u utility-finmean-conloop
0.0 13.537400868237595
0.1 13.977549700248519
0.2 14.491540214131893
0.3 15.061985667196788
0.4 15.673241657359736
0.5 16.313434744446514
0.6 16.97420813753784
0.7 17.649828544596385
0.8 18.336363233393843
0.9 19.03108212967789
1.0 19.732057280491954
1.0 10.633039498378526
0.9 10.65921315530554
0.8 10.679130557702539
0.7 10.69086375261294
0.6 10.691682665784453
0.5 10.677654564988718
0.4 10.643046158188461
0.3 10.579500654464363
0.2 10.475144613642195
0.1 10.314333633638531
0.0 10.079680971762409
