lambda-u utility-finmean-conloop
0.0 6.110807008312197
0.1 6.749830840419385
0.2 6.884924394239839
0.3 6.685309754751067
0.4 6.47434162305223
0.5 5.875004758777347
0.6 5.27909919413317
0.7 4.692018764790797
0.8 4.112285572426761
0.9 3.538530158264447
1.0 2.9695793013062906
1.0 1.4248823304681892
0.9 2.104575047556984
0.8 2.7794632074416263
0.7 3.448373589124539
0.6 4.1099367338291195
0.5 4.7626747432318925
0.4 5.393165085825166
0.3 5.728811011501634
0.2 5.960576248366893
0.1 6.083676852288669
0.0 5.438150246721806
