lambda-u utility-finmean-conloop
0.0 6.955985042464994
0.1 6.922174775015651
0.2 6.899049237599677
0.3 6.885955815733361
0.4 6.881701195329889
0.5 6.884859793035912
0.6 6.894033224552752
0.7 6.907995829309892
0.8 6.9257417905188285
0.9 6.946475540582934
1.0 6.96957930130629
1.0 5.424882330468188
0.9 5.513025644056455
0.8 5.598798946985474
0.7 5.681584461059322
0.6 5.76058661868138
0.5 5.834799603063131
0.4 5.902997753634063
0.3 5.963782686095502
0.2 6.015728817094098
0.1 6.057642832543041
0.0 6.088872117958606
