lambda-u utility-finmean-conloop
0.0 6.025589790115416
0.1 5.819695092717079
0.2 5.614628818462061
0.3 5.410582469340867
0.4 5.207783840941846
0.5 5.00649054870831
0.6 4.8069711407131175
0.7 4.609470910631559
0.8 4.414166810582386
0.9 4.2211263636842435
1.0 4.030290054645936
1.0 3.7886428791604634
0.9 3.986005757244515
0.8 4.181164497468736
0.7 4.374059584541919
0.6 4.564758541582724
0.5 4.75343832070989
0.4 4.940344215598713
0.3 5.12574477432205
0.2 5.309897612323215
0.1 5.493030525190561
0.0 5.6753350149145865
