lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 6.567833352204002 0.09987431341496786 10.0 bitstar-default-sc10.00
0.1 7.482162218843962 0.2117778349588914 4.0 bitstar-default-sc04.00
0.2 7.794949588642721 0.33810480576043567 2.5 bitstar-default-sc02.50
0.3 7.82344802182632 0.473549261291083 1.6 bitstar-default-sc01.60
0.4 7.792100293247362 0.6137564036681146 1.0 bitstar-default-sc01.00
0.5 7.580637045929597 0.7666172258309845 0.63 bitstar-default-sc00.63
0.6 7.326319279137442 0.923691523243361 0.4 bitstar-default-sc00.40
0.7 6.920738055719682 1.080634850808671 0.0 bitstar-default-sc00.00
0.8 6.65469644547472 1.2428295533592564 0.0 bitstar-default-sc00.00
0.9 6.388654835229763 1.405291113327729 0.0 bitstar-default-sc00.00
1.0 6.1226132249848 1.5679365817106372 0.0 bitstar-default-sc00.00
