lambda-u utility-finmean-conloop
0.0 7.706812917385201
0.1 7.524019811921181
0.2 7.36045417740638
0.3 7.231310914690311
0.4 6.710944447219749
0.5 6.466553440905258
0.6 6.223521609841186
0.7 5.213893839366996
0.8 4.780322470683828
0.9 3.8142587688041725
1.0 2.989654055883142
1.0 1.6080925070735375
0.9 2.5335174751099996
0.8 3.366405971422012
0.7 3.9678330448686645
0.6 4.898009790560573
0.5 5.361527384552138
0.4 5.8236858032932926
0.3 6.43195856747569
0.2 6.805528000090016
0.1 7.173201366132621
0.0 7.43294443078
