lambda-u utility-finmean-conloop
0.0 7.706812917385201
0.1 13.354793139635916
0.2 19.152968250574332
0.3 24.95215427775318
0.4 30.75159212764541
0.5 36.5511305502256
0.6 42.35071921440574
0.7 48.150336571363624
0.8 53.94997185392022
0.9 59.7496190832007
1.0 65.54927467319226
1.0 4.220413160593754
0.9 4.557075702023212
0.8 4.893729882741621
0.7 5.230372116736152
0.6 5.5669964251319435
0.5 5.903592040749997
0.4 6.240137414768114
0.3 6.5765822160982506
0.2 6.912775194715032
0.1 7.247957257091372
0.0 7.43294443078
