lambda-u utility-finmean-conloop
0.0 6.967274512149874
0.1 7.744969669031266
0.2 8.221044293491701
0.3 8.713409930256034
0.4 9.112088788167927
0.5 9.523545213146875
0.6 9.945878885806556
0.7 10.215147474519043
0.8 10.490746198925441
0.9 10.615302880354568
1.0 10.05407818085833
1.0 6.591585671829748
0.9 7.4171315150647015
0.8 7.672440787225023
0.7 7.706801078362608
0.6 7.734831233806288
0.5 7.660020373197164
0.4 7.539057144907307
0.3 7.405316349550386
0.2 7.232804861045919
0.1 6.934902648237538
0.0 6.407341327850126
