lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 6.68730792 0.14284009803565015 10.0 rrtconnect-default-sc10.00
0.1 7.339936158634402 0.20664975020248158 2.5 rrtconnect-default-sc02.50
0.2 7.72692457726881 0.25210189603208755 2.5 rrtconnect-default-sc02.50
0.3 8.05936313990321 0.3336973420167473 1.6 rrtconnect-default-sc01.60
0.4 8.325572966537617 0.40128358246444396 1.6 rrtconnect-default-sc01.60
0.5 8.591782793172019 0.4753889897830893 1.6 rrtconnect-default-sc01.60
0.6 8.840355059806422 0.5640427683674153 1.0 rrtconnect-default-sc01.00
0.7 8.960974276440826 0.6398842847337844 1.0 rrtconnect-default-sc01.00
0.8 9.081593493075232 0.718955462168474 1.0 rrtconnect-default-sc01.00
0.9 9.016217197709635 0.8158600421657825 0.4 rrtconnect-default-sc00.40
1.0 8.322831926344039 0.8832889053644344 0.0 rrtconnect-default-sc00.00
