lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 3.1138824867368013 0.0016756195590838638 4.0 bitstar-default-sc04.00
0.1 2.9835757079004157 0.008298603383862738 1.0 bitstar-default-sc01.00
0.2 2.796114020548828 0.007644487197377858 1.0 bitstar-default-sc01.00
0.3 2.584235736484463 0.019870169187602888 0.63 bitstar-default-sc00.63
0.4 2.3474049915204156 0.017651217444574333 0.63 bitstar-default-sc00.63
0.5 2.10485565960157 0.02676112840890949 0.4 bitstar-default-sc00.40
0.6 1.8231686320284843 0.022610479778821236 0.4 bitstar-default-sc00.40
0.7 1.5414816044553976 0.018781623320401095 0.4 bitstar-default-sc00.40
0.8 1.1837394283838316 0.024247117367455075 0.0 bitstar-default-sc00.00
0.9 0.7400799750599858 0.017715452138586607 0.0 bitstar-default-sc00.00
1.0 0.2964205217361399 0.012487384448952244 0.0 bitstar-default-sc00.00
