lambda-u utility-finmean-conloop
0.0 3.1188047375899925
0.1 3.0878081540493736
0.2 3.057664678445997
0.3 3.02785498123052
0.4 2.9981835430419044
0.5 2.9685788835271247
0.6 2.939010828137765
0.7 2.909464813272932
0.8 2.8799330356739543
0.9 2.8504109638762145
1.0 2.8208957952560874
1.0 2.7719452482161944
0.9 2.806186106695037
0.8 2.840420061996268
0.7 2.8746443114962665
0.6 2.908854323730405
0.5 2.943042295440016
0.4 2.9771936630242055
0.3 3.011278251934566
0.2 3.045224581818058
0.1 3.0788371333136513
0.0 3.11159657687201
