lambda-u utility-finmean-conloop
0.0 3.9086013554448296
0.1 3.600333005113367
0.2 3.2920995087472673
0.3 2.983914751883598
0.4 2.6758009970828143
0.5 2.3677961630597713
0.6 2.0599699857788853
0.7 1.7524640271048
0.8 1.44560405030517
0.9 1.1402486834811663
1.0 0.8386552915668575
1.0 0.8016148748301426
0.9 1.0933372232408527
0.8 1.38129759674187
0.7 1.6677533602672607
0.6 1.953563141918194
0.5 2.2390527049623294
0.4 2.524363611264307
0.3 2.809565596788541
0.2 3.0946965802498956
0.1 3.3797788242088145
0.0 3.664826214202374
