lambda-u utility-finmean-conloop
0.0 3.552747251153235
0.1 3.2697727079033982
0.2 2.986825348174478
0.3 2.7039145023089755
0.4 2.421054149890882
0.5 2.1382660614966
0.6 1.8555856601023255
0.7 1.57307338379891
0.8 1.2908370277842098
0.9 1.0090727103131842
1.0 0.7281151041538119
1.0 0.7049219480007485
0.9 0.9820907965244793
0.8 1.258452933736557
0.7 1.5343430324049616
0.6 1.809957210784651
0.5 2.0854032640734803
0.4 2.3607416303623014
0.3 2.6360077326273124
0.2 2.9112233414449156
0.1 3.186402436399099
0.0 3.4615543478323643
