lambda-u utility-finmean-conloop
0.0 3.5431707619226773
0.1 3.5865751346474424
0.2 3.631865535882518
0.3 3.6791244242794234
0.4 3.7281790268898702
0.5 3.7786954308887966
0.6 3.8303157180018745
0.7 3.882739331087796
0.8 3.93574191697966
0.9 3.989164406490218
1.0 4.042895778830732
1.0 3.8725950010436683
0.9 3.8345001204437814
0.8 3.79609635701394
0.7 3.757272689965403
0.6 3.7178700501109248
0.5 3.6776640842836033
0.4 3.63635423534213
0.3 3.5935825850121756
0.2 3.5490152204686836
0.1 3.5024793687633595
0.0 3.4540574885477215
