lambda-u utility-finmean-conloop
0.0 3.383892281176515
0.1 3.324431614275045
0.2 3.1736404007974746
0.3 3.061133648086304
0.4 2.820215663832033
0.5 2.5795374161817453
0.6 2.3392477792150546
0.7 2.2413959170347035
0.8 1.742145638406726
0.9 1.1793750063830883
1.0 0.3982564397308987
1.0 0.3142173914459015
0.9 0.9375349936760318
0.8 1.3210406585347139
0.7 1.6290698047890566
0.6 2.1039605514910242
0.5 2.2963545394066545
0.4 2.4883599166386876
0.3 2.6801255572667357
0.2 2.9857328934378864
0.1 3.115804112842636
0.0 3.1970893988234876
