lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 3.3577051 0.05903517389748526 10.0 rrtconnect-default-sc10.00
0.1 3.2784976149794325 0.05846139212957102 1.6 rrtconnect-default-sc01.60
0.2 3.1325371499588646 0.05246016757657471 1.6 rrtconnect-default-sc01.60
0.3 2.9211372569382963 0.08302585169029585 1.0 rrtconnect-default-sc01.00
0.4 2.6988109959177273 0.07210370327599534 1.0 rrtconnect-default-sc01.00
0.5 2.4764847348971597 0.06125365286651375 1.0 rrtconnect-default-sc01.00
0.6 2.2541584738765925 0.05052217274657495 1.0 rrtconnect-default-sc01.00
0.7 2.0095539008560244 0.11794570407126084 0.4 rrtconnect-default-sc00.40
0.8 1.5946537438354556 0.08145467654144398 0.4 rrtconnect-default-sc00.40
0.9 1.104504758814888 0.048100317420673104 0.16 rrtconnect-default-sc00.16
1.0 0.3648534297943201 0.015117856953165929 0.0 rrtconnect-default-sc00.00
