lambda-u utility-finmean-conloop
0.0 3.3908457080645276
0.1 3.487643597129503
0.2 3.584702658733647
0.3 3.6821259885426634
0.4 3.780069951356358
0.5 3.878773276651826
0.6 3.978592465665114
0.7 4.08001716367865
0.8 4.183593300312247
0.9 4.289690136033676
1.0 4.3982564397309
1.0 4.314217391445902
0.9 4.211159712025444
0.8 4.105632564629192
0.7 3.9975847181451107
0.6 3.8873854330409645
0.5 3.775580638936574
0.4 3.662659981114363
0.3 3.5489799608103767
0.2 3.4347793075017132
0.1 3.320214385988178
0.0 3.2053882919354733
