lambda-u utility-finmean-conloop
0.0 2.8182299332928453
0.1 2.685260387708982
0.2 2.552959596022217
0.3 2.4214897097755523
0.4 2.2910455916550454
0.5 2.1618492010861874
0.6 2.034132039942833
0.7 1.908102777702435
0.8 1.7839049020616309
0.9 1.6615800742270068
1.0 1.5410563207153083
1.0 1.3551514791958925
0.9 1.4816594880524747
0.8 1.6063664225861296
0.7 1.7292003093136048
0.6 1.850202809441487
0.5 1.9695174106664133
0.4 2.0873527824658353
0.3 2.203940426713608
0.2 2.3195023028352244
0.1 2.434233273516737
0.0 2.5482954903011565
