lambda-u utility-finmean-conloop
0.0 3.289813813219792
0.1 3.431239663715744
0.2 3.572716095681404
0.3 3.7142618563488368
0.4 3.8559059698297182
0.5 3.9976955759696646
0.6 4.139711722923431
0.7 4.282103257129887
0.8 4.425163059601251
0.9 4.569493244895828
1.0 4.716236465989308
1.0 4.672826596678492
0.9 4.518236952027031
0.8 4.361234271576669
0.7 4.202961208303093
0.6 4.044019876764609
0.5 3.884703157973432
0.4 3.725159898368441
0.3 3.5654711461043798
0.2 3.405684041026877
0.1 3.2458276072475987
0.0 3.0859205919986086
