lambda-u utility-finmean-conloop
0.0 3.379807004849646
0.1 3.4059674977146503
0.2 3.4333708895429456
0.3 3.462597309384381
0.4 3.494504829188818
0.5 3.5302342816907935
0.6 3.5709583131399105
0.7 3.617298512075159
0.8 3.668887644950972
0.9 3.7246387045641605
1.0 3.783361171500785
1.0 3.544245907051216
0.9 3.5143794164630417
0.8 3.481541518551428
0.7 3.4445416939024414
0.6 3.4022929353128886
0.5 3.354428009237206
0.4 3.3015685042143827
0.3 3.2448870664940204
0.2 3.1855245288106544
0.1 3.12433896311415
0.0 3.061910498454354
