lambda-u utility-finmean-conloop
0.0 3.2898148946286616
0.1 3.3652319489578355
0.2 3.436396907849762
0.3 3.5025686975075847
0.4 3.5692686622480183
0.5 3.6366635277535835
0.6 3.7049685765894167
0.7 3.774443485114388
0.8 3.8453638665610725
0.9 3.9179597106961817
1.0 3.992337995865646
1.0 3.884375899932353
0.9 3.8112669792691394
0.8 3.7363756175715688
0.7 3.659808793185572
0.6 3.581796495877865
0.5 3.502614338881018
0.4 3.4225219985539015
0.3 3.3417347574616563
0.2 3.2604193412867994
0.1 3.1799363071914044
0.0 3.0859213592793395
