lambda-u utility-finmean-conloop
0.0 3.2898148946286616
0.1 3.3652319489578355
0.2 3.445822087085389
0.3 3.5259727810917014
0.4 3.5692686622480183
0.5 3.6366635277535835
0.6 3.7049685765894167
0.7 3.8678312513253226
0.8 3.9336941898410562
0.9 4.021339817682336
1.0 4.08188615336257
1.0 3.8787881992858297
0.9 3.8387422128837043
0.8 3.7628943334252622
0.7 3.6987340487185594
0.6 3.581796495877865
0.5 3.502614338881018
0.4 3.4225219985539015
0.3 3.3626785015572564
0.2 3.2728414839780524
0.1 3.1799363071914044
0.0 3.0859213592793395
