lambda-u utility-finmean-conloop
0.0 3.024131539281352
0.1 3.003353302864064
0.2 2.9083654029149684
0.3 2.889520665401131
0.4 2.7040797356091093
0.5 2.519864692282253
0.6 2.415348780199829
0.7 2.121776499788366
0.8 1.8015690620824494
0.9 1.4030121382211806
1.0 0.6462101775491693
1.0 0.4331403702413905
0.9 1.0652439907903233
0.8 1.423117640149999
0.7 1.7278387916650269
0.6 1.937688092474506
0.5 2.181828941613027
0.4 2.3220825155071148
0.3 2.461110202936037
0.2 2.6154915866431447
0.1 2.6760669919149906
0.0 2.6829216607186486
