lambda-u utility-finmean-conloop
0.0 3.016930833447959
0.1 3.0438264047039065
0.2 2.8842431356209874
0.3 2.796399680937083
0.4 2.712049126920037
0.5 2.3945960250674765
0.6 2.249714265242604
0.7 2.019172593262263
0.8 1.792338812199946
0.9 1.4521420365757094
1.0 0.7444736316878234
1.0 0.43295139043705644
0.9 1.064309763336682
0.8 1.4818092054999572
0.7 1.6733369222251515
0.6 2.016694508032325
0.5 2.1440586859949637
0.4 2.4610190099299145
0.3 2.5092756417003805
0.2 2.5540393728039894
0.1 2.674039841508581
0.0 2.60886436655204
