lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 2.8128975999999994 0.10409858849385681 10.0 rrtconnect-default-sc10.00
0.1 2.858933123106244 0.0943333069375831 2.5 rrtconnect-default-sc02.50
0.2 2.7191412542124884 0.08423565377984635 1.6 rrtconnect-default-sc01.60
0.3 2.6528376613187317 0.07324592837670985 1.6 rrtconnect-default-sc01.60
0.4 2.586534068424976 0.06403829515054156 1.6 rrtconnect-default-sc01.60
0.5 2.26932735553122 0.06391258649808992 1.0 rrtconnect-default-sc01.00
0.6 2.1332043866374644 0.059443815614867036 1.0 rrtconnect-default-sc01.00
0.7 1.8462547577437072 0.08822338546865088 0.63 rrtconnect-default-sc00.63
0.8 1.6370740088499516 0.07921673640305842 0.63 rrtconnect-default-sc00.63
0.9 1.2582258999561957 0.0989368043977111 0.25 rrtconnect-default-sc00.25
1.0 0.5887125110624399 0.07946995950274668 0.0 rrtconnect-default-sc00.00
