lambda-u utility-finmean-conloop
0.0 7.777907788507116
0.1 7.07128358762404
0.2 6.364746671868394
0.3 5.6583305329324975
0.4 4.952088213036315
0.5 4.246108894029424
0.6 3.5405546255976086
0.7 2.8357523697634712
0.8 2.1324672842359322
0.9 1.4329351255321345
1.0 0.7462101775491694
1.0 0.5331403702413906
0.9 1.0814109514793695
0.8 1.6168743219965174
0.7 2.1485847656899213
0.6 2.678778039076727
0.5 3.2082192998658563
0.4 3.7372355100799117
0.3 4.265988719404666
0.2 4.794568109689715
0.1 5.323026723155018
0.0 5.8513980514928825
