lambda-u utility-finmean-conloop
0.0 5.138614874648015
0.1 5.75535736029563
0.2 6.094272781206263
0.3 6.248903491358313
0.4 6.301160977886185
0.5 6.113219350570995
0.6 5.774577961435238
0.7 5.251489226723834
0.8 4.735109282700577
0.9 4.224265536857392
1.0 3.7179563743054236
1.0 1.8204558151798564
0.9 2.4503271581220387
0.8 3.075663917773008
0.7 3.6954644792439044
0.6 4.308556250026651
0.5 4.79769236664144
0.4 5.044250644871689
0.3 5.288107944152191
0.2 5.156824260879277
0.1 4.8939216715463765
0.0 4.241860986713585
