lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 4.6902379306808 0.22876374692204857 10.0 bitstar-default-sc10.00
0.1 5.482591324330283 0.2445565898795812 4.0 bitstar-default-sc04.00
0.2 5.905533922641008 0.29719956337004105 2.5 bitstar-default-sc02.50
0.3 5.889955764151652 0.3127922602581607 1.6 bitstar-default-sc01.60
0.4 5.8727820859148165 0.36067883397407663 1.0 bitstar-default-sc01.00
0.5 5.59426969255102 0.36760356916465614 0.63 bitstar-default-sc00.63
0.6 5.161940794144864 0.3870138085607221 0.4 bitstar-default-sc00.40
0.7 4.473476852983869 0.39694508864283906 0.0 bitstar-default-sc00.00
0.8 3.9053866002367927 0.4233278992162167 0.0 bitstar-default-sc00.00
0.9 3.3372963474897155 0.4525353006977943 0.0 bitstar-default-sc00.00
1.0 2.76920609474264 0.48405626508305283 0.0 bitstar-default-sc00.00
