lambda-u utility-finmean-conloop
0.0 8.892317556377993
0.1 8.37075392543363
0.2 7.8593958077400075
0.3 7.358817752643783
0.4 6.86912870556032
0.5 6.389948544796725
0.6 5.920487858923879
0.7 5.45969510340664
0.8 5.006414723653477
0.9 4.5595130773795125
1.0 4.1179563743054235
1.0 2.220455815179857
0.9 2.7752664618068783
0.8 3.3247321652340274
0.7 3.867819135181979
0.6 4.403393729365849
0.5 4.930300393194119
0.4 5.447487582131628
0.3 5.954165884749282
0.2 6.449955179354175
0.1 6.934964411361661
0.0 7.409768130118412
