lambda-u utility-finmean-conloop
0.0 5.707877402562209
0.1 5.54402617183581
0.2 5.385960752102578
0.3 5.233025644115442
0.4 5.08438288258531
0.5 4.9391930198092755
0.6 4.796719891132727
0.7 4.6563649899286625
0.8 4.517661341888348
0.9 4.380251722428582
1.0 4.24386467501377
1.0 3.387447790654189
0.9 3.585784287365184
0.8 3.783098212031221
0.7 3.9791181081167073
0.6 4.173486751038451
0.5 4.36573716648771
0.4 4.555270847837474
0.3 4.741351630433145
0.2 4.923140066571817
0.1 5.0997981909643855
0.0 5.270670504363794
