lambda-u utility-finmean-conloop
0.0 5.284734868867504
0.1 4.882979626150475
0.2 4.47490216839846
0.3 4.067139719760093
0.4 3.65387221257344
0.5 3.2377029725903745
0.6 2.8217875231052334
0.7 2.371272414243687
0.8 1.933688851363328
0.9 1.4785531663696405
1.0 1.0206220385788922
1.0 0.9545985081431472
0.9 1.3827018438537553
0.8 1.8164626820191185
0.7 2.229282658924204
0.6 2.6426213695035186
0.5 3.039743069680187
0.4 3.4366109793589277
0.3 3.822878921903414
0.2 4.212825234916412
0.1 4.603469947803018
0.0 4.988578196192897
