lambda-u utility-finmean-conloop
0.0 5.539633612418255
0.1 5.658723065685484
0.2 5.916804808546707
0.3 6.20819239887299
0.4 6.508956579670996
0.5 6.813441822427652
0.6 7.11975324992767
0.7 7.427090590070865
0.8 7.7350601133846455
0.9 8.043446221134579
1.0 8.352121148949971
1.0 3.880041765324428
0.9 4.029145693267104
0.8 4.177960801144313
0.7 4.326359324585374
0.6 4.474125664855852
0.5 4.620866092483148
0.4 4.765780335367086
0.3 4.906973516292368
0.2 5.038790106745934
0.1 5.137300849734437
0.0 5.096819303128948
