lambda-u utility-finmean-conloop
0.0 5.931556641244152
0.1 5.640323428576888
0.2 5.356371160755533
0.3 5.080769085124853
0.4 4.814292970717722
0.5 4.557234182341426
0.6 4.309318713389492
0.7 4.069783471816135
0.8 3.8375651566969315
0.9 3.6115066996116862
1.0 3.390509853879684
1.0 2.1948609537680763
0.9 2.497104067271297
0.8 2.7942855694212776
0.7 3.0853072135372948
0.6 3.3690119311991644
0.5 3.644336421482454
0.4 3.910517592341381
0.3 4.167281437169475
0.2 4.41491932077402
0.1 4.654207012187889
0.0 4.886213758755847
