lambda-u utility-finmean-conloop
0.0 6.805315448752037
0.1 8.400058133600258
0.2 10.217698471317714
0.3 12.09887617443626
0.4 14.002736721313608
0.5 15.916864481323273
0.6 17.83643955108697
0.7 19.759234474518202
0.8 21.684085525811586
0.9 23.610327625804384
1.0 25.53755384169397
1.0 12.891617787299545
0.9 12.199532971264265
0.8 11.506464039332197
0.7 10.812004058700698
0.6 10.115487950207068
0.5 9.415751988045887
0.4 8.710568716130679
0.3 7.995118231083154
0.2 7.256984902276831
0.1 6.45531420806941
0.0 5.430745860992763
