lambda-u utility-finmean utility-stderrfinmean
0.0 6.1180306548724 0.35065550708144727
0.1 7.427686170834834 0.49610814426807315
0.2 8.737341686797272 0.755284073734919
0.3 10.046997202759707 1.0468770263655882
0.4 11.356652718722144 1.3500428584650335
0.5 12.66630823468458 1.6584470646115779
0.6 13.975963750647018 1.9696305104285463
0.7 15.28561926660945 2.2824567387289547
0.8 16.59527478257189 2.5963320118569873
0.9 17.904930298534325 2.910917003709214
1.0 19.214585814496758 3.2260040955087828
