lambda-u utility-finmean-conloop
0.0 7.213694948941461
0.1 6.6705692442805296
0.2 6.128218954835577
0.3 5.586857510483898
0.4 5.046768058364837
0.5 4.508323201058018
0.6 3.9720019903509023
0.7 3.438391310173925
0.8 2.9081487380168682
0.9 2.3819025374103076
1.0 1.8600936747998174
1.0 1.5505868481190244
0.9 2.069902768861769
0.8 2.584781351608443
0.7 3.0956635628046225
0.6 3.6031776659808807
0.5 4.107981238627002
0.4 4.61066116467342
0.3 5.1116964959075935
0.2 5.611459834909151
0.1 6.110234328817435
0.0 6.608233407509736
