lambda-u utility-finmean-conloop
0.0 6.570396574725036
0.1 6.427632071866393
0.2 6.3144933279395925
0.3 6.218149226686408
0.4 6.131239755323358
0.5 6.049886279317534
0.6 5.971997762430103
0.7 5.8963870290324785
0.8 5.822342536001763
0.9 5.749416357493164
1.0 5.677314250853792
1.0 2.8310162278170874
0.9 3.1544245852226283
0.8 3.4770088707589437
0.7 3.7984748417731384
0.6 4.118374572420427
0.5 4.4359965195779045
0.4 4.750153507616995
0.3 5.058754500298854
0.2 5.357920863090582
0.1 5.640292583208694
0.0 5.893038544394958
