lambda-u utility-finmean-conloop
0.0 6.570396574725036
0.1 8.117847178528976
0.2 9.952503418731286
0.3 11.766558600480092
0.4 12.757922976923243
0.5 14.366641349149322
0.6 15.97626736849729
0.7 15.776155189349566
0.8 17.092666789420623
0.9 17.215543542214903
1.0 18.048346913795307
1.0 1.5934811081896534
0.9 2.4020280451653235
0.8 1.8489680512870867
0.7 2.4277239687790804
0.6 3.4137642432048523
0.5 3.877032694584197
0.4 4.339393498841652
0.3 4.892376093558301
0.2 5.310267602681244
0.1 5.755484483764162
0.0 5.893038544394958
