lambda-u utility-finmean-conloop
0.0 6.600207864698116
0.1 10.20265329600551
0.2 14.072310069758538
0.3 17.950956013261745
0.4 21.831901558716353
0.5 25.71377407360599
0.6 29.59611189859327
0.7 33.47871625220777
0.8 37.361487455229124
0.9 41.244370020583894
1.0 45.12733060803866
1.0 3.5744421771437374
0.9 3.8384141064693083
0.8 4.102308013694895
0.7 4.366090558587032
0.6 4.629706254072332
0.5 4.8930554209304
0.4 5.15593927769085
0.3 5.41789616501625
0.2 5.677553450390262
0.1 5.928221566014093
0.0 5.911678339192281
