lambda-u utility-finmean-conloop
0.0 6.676972205165979
0.1 7.134048787047873
0.2 7.638126421853267
0.3 8.157224804816845
0.4 8.682312108564256
0.5 9.210301199275797
0.6 9.596981268642555
0.7 10.033761533754978
0.8 10.492243774754945
0.9 10.546277269801838
1.0 10.602938452633953
1.0 6.747292737093648
0.9 7.040394907669245
0.8 7.330869390459609
0.7 7.406803357655222
0.6 7.310771568315449
0.5 7.155257981718001
0.4 6.986710125898864
0.3 6.815260483115592
0.2 6.637821919548498
0.1 6.445362607823211
0.0 6.205902243174418
