lambda-u utility-finmean-conloop
0.0 4.808779500949712
0.1 5.3543644627949325
0.2 5.755160166545342
0.3 6.121677455012331
0.4 6.61244280951154
0.5 6.840675588823168
0.6 7.087496447312
0.7 7.347204107726904
0.8 7.439117682010363
0.9 7.4060146046921185
1.0 6.569843655008279
1.0 4.037570705042844
0.9 5.093690423353887
0.8 5.396239134030531
0.7 5.53642902430888
0.6 5.488209608718674
0.5 5.427103391202389
0.4 5.347409094508906
0.3 5.241648637003007
0.2 5.001867601464883
0.1 4.743651741210178
0.0 4.181437139050286
