lambda-u utility-finmean-conloop
0.0 4.808779500949712
0.1 5.432455030911956
0.2 6.239785392611966
0.3 6.4099337786135475
0.4 6.61244280951154
0.5 7.4366468767493314
0.6 7.402552115718181
0.7 7.90677932377078
0.8 7.639451773348364
0.9 7.650732265151004
1.0 6.569843655008279
1.0 4.037570705042844
0.9 5.2022267388950025
0.8 5.492543922692535
0.7 5.8575070402650065
0.6 5.660747156312493
0.5 5.740623623276233
0.4 5.347409094508906
0.3 5.241991049401788
0.2 5.1042123593982565
0.1 4.718274413093158
0.0 4.181437139050286
