lambda-u utility-finmean-conloop
0.0 4.758219138579205
0.1 5.1711911640071
0.2 5.62536632615088
0.3 6.109524278946843
0.4 6.609852824620764
0.5 7.118454387765786
0.6 7.631538221443668
0.7 8.147243019493045
0.8 8.66458882809565
0.9 9.183021700026849
1.0 9.702208460066482
1.0 7.918923465515726
0.9 7.583465504997132
0.8 7.24725365637011
0.7 6.9099547444145
0.6 6.571014821905651
0.5 6.229453935025313
0.4 5.883410777612114
0.3 5.529094602727813
0.2 5.1586078349655615
0.1 4.75813827655112
0.0 4.316465581420795
