lambda-u utility-finmean-conloop
0.0 7.472983422344668
0.1 7.870143129467916
0.2 8.093204986334941
0.3 7.815452348827689
0.4 7.269098376156979
0.5 6.5021380097492125
0.6 5.51029577004168
0.7 4.520312663488768
0.8 3.5330864678063767
0.9 2.5500128536024533
1.0 1.5731242392334326
1.0 1.2606776311121268
0.9 2.19929373111903
0.8 3.1317248312910317
0.7 4.060003349984565
0.6 4.985524957807574
0.5 5.909187432475966
0.4 6.677953311422126
0.3 7.150474308290336
0.2 7.501756296691293
0.1 7.291878589186647
0.0 6.836618279455332
