lambda-u utility-finmean-conloop
0.0 8.177504164678343
0.1 8.134918115127387
0.2 8.093204986334941
0.3 8.052677322088746
0.4 8.013793621726922
0.5 7.977231718596068
0.6 7.943982022020388
0.7 7.9154185486706
0.8 7.89321486634385
0.9 7.878902142115268
1.0 7.8731242392334355
1.0 7.56067763111213
0.9 7.575044654815376
0.8 7.58087685717188
0.7 7.5788181014302145
0.6 7.570399554665511
0.5 7.557294784674916
0.4 7.540877808129141
0.3 7.522139034352401
0.2 7.501756296691293
0.1 7.4801880944839345
0.0 7.457746971518057
