lambda-u utility-finmean-conloop
0.0 6.566400873733416
0.1 6.673512560074127
0.2 6.781704917522757
0.3 6.89123538396867
0.4 7.002383825333369
0.5 7.115415894857986
0.6 7.230528803158803
0.7 7.347798267438822
0.8 7.467155191212512
0.9 7.588407011134371
1.0 7.711289987103293
1.0 7.495571489794462
0.9 7.385971283098178
0.8 7.274739920354821
0.7 7.161613661463289
0.6 7.046399943078091
0.5 6.929029668713693
0.4 6.8095785555730926
0.3 6.688243814272573
0.2 6.565291098053273
0.1 6.441000272836686
0.0 6.315628776512186
