lambda-u utility-finmean-conloop
0.0 6.543304402102065
0.1 6.142182581690274
0.2 5.742367957978778
0.3 5.3436673484704205
0.4 4.945900784418312
0.5 4.548909976856551
0.6 4.152560753685388
0.7 3.7567419534728796
0.8 3.361362679164406
0.9 2.9663490815005917
1.0 2.5716412768009893
1.0 2.145536476648292
0.9 2.564118960611999
0.8 2.9823956516114998
0.7 3.40030666596634
0.6 3.817778154417139
0.5 4.234719219909291
0.4 4.651018701010841
0.3 5.066542425622043
0.2 5.481132104777001
0.1 5.894607769728814
0.0 6.306776237980338
