lambda-u utility-finmean-conloop
0.0 6.543304402102065
0.1 6.062037950492148
0.2 5.577729159480277
0.3 5.092649500315888
0.4 4.575492824814579
0.5 4.0734248578197265
0.6 3.572451264438992
0.7 3.0291867228215104
0.8 2.457315816767945
0.9 1.9373799175493052
1.0 1.1777148657683505
1.0 1.0491675061350898
0.9 1.7265255168615512
0.8 2.277593809557656
0.7 2.8295746445000898
0.6 3.347271328152162
0.5 3.8496614531020326
0.4 4.350957204437788
0.3 4.865536853290944
0.2 5.348132420054818
0.1 5.829487100176036
0.0 6.306776237980338
