lambda-u utility-finmean-conloop
0.0 7.190313001780128
0.1 6.965741658209312
0.2 6.74208140813383
0.3 6.519603128273188
0.4 6.298658281925742
0.5 6.079682908255349
0.6 5.863174084016694
0.7 5.649618409260651
0.8 5.439371757619586
0.9 5.232538629233619
1.0 5.028931417802826
1.0 4.7883821007219725
0.9 5.002851424444581
0.8 5.214094831212014
0.7 5.421924714724351
0.6 5.626445575121708
0.5 5.828013286036451
0.4 6.027114447519458
0.3 6.224246136325412
0.2 6.4198443916181684
0.1 6.614260676696093
0.0 6.807765868278668
