lambda-u utility-finmean-conloop
0.0 6.543304402102065
0.1 6.373791516285206
0.2 6.1982322306603725
0.3 6.018437234934977
0.4 5.82829185521506
0.5 5.639111728910556
0.6 5.450925997199701
0.7 5.254804220341544
0.8 5.001946172468892
0.9 4.751466240854664
1.0 4.358087471748971
1.0 4.227683621618229
0.9 4.569718881793814
0.8 4.808632109251271
0.7 5.045167220450297
0.6 5.232032500086539
0.5 5.420004502590449
0.4 5.606982110500699
0.3 5.792994464995543
0.2 5.968219825864666
0.1 6.140040527673114
0.0 6.306776237980338
