lambda-u utility-finmean-conloop
0.0 6.543304402102065
0.1 6.382725569214756
0.2 6.1982322306603725
0.3 6.023330103399604
0.4 5.82829185521506
0.5 5.639111728910556
0.6 5.450925997199701
0.7 5.254804220341544
0.8 5.001946172468892
0.9 4.7937945022585176
1.0 4.358087471748971
1.0 4.227683621618229
0.9 4.593110781469724
0.8 4.808632109251271
0.7 5.045167220450297
0.6 5.232032500086539
0.5 5.420004502590449
0.4 5.606982110500699
0.3 5.795741965692151
0.2 5.968219825864666
0.1 6.150284058632405
0.0 6.306776237980338
