lambda-u utility-finmean-conloop
0.0 8.316793769125486
0.1 8.343856329527318
0.2 8.174259220796797
0.3 7.859731272058694
0.4 7.556862298028605
0.5 7.267762265677341
0.6 6.881659330030229
0.7 6.4208170724860665
0.8 5.906696962296691
0.9 4.999942870971959
1.0 3.5160366117048385
1.0 2.4602541101883224
0.9 3.9361663587318843
0.8 4.878530359217833
0.7 5.539685580839148
0.6 6.006913967105668
0.5 6.508992375269241
0.4 6.779985126728658
0.3 7.037208936509257
0.2 7.282773771581843
0.1 7.428377046662
0.0 7.343053950874514
