lambda-u utility-finmean-conloop
0.0 8.316793769125486
0.1 8.497988081648247
0.2 8.854518811180457
0.3 8.345358207721086
0.4 7.845399322165002
0.5 8.133073363545408
0.6 7.375585486221713
0.7 6.632321026330662
0.8 5.965425177771841
0.9 5.093522316862713
1.0 3.5160366117048385
1.0 2.4602541101883224
0.9 4.002681956841131
0.8 4.877927263742687
0.7 5.557374594994552
0.6 6.218578434914178
0.5 6.865558857401172
0.4 6.899315262592263
0.3 7.327427020846869
0.2 7.74633706119817
0.1 7.519137694541067
0.0 7.343053950874514
