lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 8.161847799999999 0.3749910812209139 10.0 rrtconnect-default-sc10.00
0.1 8.243598307127556 0.3931780227441266 2.5 rrtconnect-default-sc02.50
0.2 8.160293718255115 0.4080731675971709 1.6 rrtconnect-default-sc01.60
0.3 7.678010237382669 0.37347644702227706 1.6 rrtconnect-default-sc01.60
0.4 7.195726756510225 0.3450133595337626 1.6 rrtconnect-default-sc01.60
0.5 6.94122031563778 0.3741544373538476 1.0 rrtconnect-default-sc01.00
0.6 6.293381426765336 0.35111237879686136 1.0 rrtconnect-default-sc01.00
0.7 5.763757881892893 0.37616093139384316 0.63 rrtconnect-default-sc00.63
0.8 4.953180545020447 0.36094459643423243 0.63 rrtconnect-default-sc00.63
0.9 4.162664104148004 0.3859485626106628 0.25 rrtconnect-default-sc00.25
1.0 2.70202587127556 0.3670047853908677 0.0 rrtconnect-default-sc00.00
