lambda-u utility-finmean-conloop
0.0 18.012570937736157
0.1 16.52586084151042
0.2 15.041802515179574
0.3 13.561317998876579
0.4 12.08577867627035
0.5 10.617283861362573
0.6 9.15913216964588
0.7 7.716584879955403
0.8 6.29790621814291
0.9 4.915001642044745
1.0 3.5813552506416615
1.0 2.1426964919094598
0.9 3.395798574251264
0.8 4.599642471897984
0.7 5.767712283830384
0.6 6.911913467884795
0.5 8.040510249912984
0.4 9.158763908750101
0.3 10.269973059888752
0.2 11.37623701733065
0.1 12.478927164744693
0.0 13.578965542263848
