lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 6.825398521148402 0.22119196161505092 10.0 bitstar-default-sc10.00
0.1 7.525048457851946 0.22957555619333073 10.0 bitstar-default-sc10.00
0.2 7.9059787519654074 0.2675421991596677 2.5 bitstar-default-sc02.50
0.3 7.707968643992713 0.29002424749074435 2.5 bitstar-default-sc02.50
0.4 7.509958536020015 0.3233474864315162 2.5 bitstar-default-sc02.50
0.5 6.933893518572522 0.46205432090602655 0.0 bitstar-default-sc00.00
0.6 6.311494392494782 0.4905102432108269 0.0 bitstar-default-sc00.00
0.7 5.689095266417048 0.5216531740236374 0.0 bitstar-default-sc00.00
0.8 5.06669614033931 0.5550309912883258 0.0 bitstar-default-sc00.00
0.9 4.444297014261576 0.5902646869493747 0.0 bitstar-default-sc00.00
1.0 3.8218978881838397 0.6270414915105381 0.0 bitstar-default-sc00.00
