lambda-u utility-finmean-conloop
0.0 7.258934765913901
0.1 8.575294735707256
0.2 8.430361462318356
0.3 8.627353038667836
0.4 8.486865629735988
0.5 7.996464710726413
0.6 7.512894469188004
0.7 6.711535487503378
0.8 6.154556883264429
0.9 5.6012158006823505
1.0 5.050899211544494
1.0 2.592896564823185
0.9 3.2873782278408012
0.8 3.9788353974141915
0.7 4.666655045330719
0.6 5.590094315801562
0.5 6.172766569252427
0.4 6.728257371164602
0.3 7.170563816856266
0.2 7.381596041612458
0.1 7.534594536605429
0.0 6.391862276382902
