lambda-u utility-finmean-conloop
0.0 10.790168432313154
0.1 10.196633996918152
0.2 9.613824804920641
0.3 9.040809062779278
0.4 8.4764419232382
0.5 7.91951998754833
0.6 7.368894469188004
0.7 6.823535487503378
0.8 6.282556883264431
0.9 5.745215800682351
1.0 5.210899211544496
1.0 2.7528965648231862
0.9 3.4313782278408014
0.8 4.106835397414193
0.7 4.778655045330719
0.6 5.446094315801562
0.5 6.108267049596707
0.4 6.7641433660623065
0.3 7.4125744786767
0.2 8.05235698869082
0.1 8.682346048848778
0.0 9.301609865609253
