lambda-u utility-finmean-conloop
0.0 6.375670388063446
0.1 6.2881788592152255
0.2 6.206352579901222
0.3 6.128973205329546
0.4 6.054994875633223
0.5 5.983594706299536
0.6 5.914152926281789
0.7 5.846211116469834
0.8 5.779431332380435
0.9 5.713563220487221
1.0 5.648419592367171
1.0 4.530187795175472
0.9 4.673326576000153
0.8 4.815740873051679
0.7 4.957243497907018
0.6 5.097584097039796
0.5 5.236424725966781
0.4 5.373306965577835
0.3 5.507611044826243
0.2 5.638514079199303
0.1 5.764970208830036
0.0 5.8857610889265555
