lambda-u utility-finmean-conloop
0.0 6.534701145975964
0.1 6.082102047872944
0.2 5.633907388208517
0.3 5.1899674944871
0.4 4.749994054150871
0.5 4.313605699911497
0.6 3.880377768493656
0.7 3.449884150760179
0.8 3.0217257606853343
0.9 2.595545873149099
1.0 2.171035485465036
1.0 1.171894221107364
0.9 1.6517750163320615
0.8 2.1299863117045845
0.7 2.606219104538502
0.6 3.0801166697137847
0.5 3.5512799212047024
0.4 4.019282749874087
0.3 4.483700492446618
0.2 4.944151781633964
0.1 5.400348304878294
0.0 5.852140389684033
