lambda-u utility-finmean-conloop
0.0 6.182011957492731
0.1 5.791647714512557
0.2 5.401783919902704
0.3 5.012371056742843
0.4 4.594971352368011
0.5 4.159546117445866
0.6 3.6867586358703703
0.7 3.2150930519686414
0.8 2.744634425905119
0.9 2.275452866048228
1.0 1.6289990319342424
1.0 1.2692703638930773
0.9 1.8880490168380055
0.8 2.3522850445949124
0.7 2.81524400614519
0.6 3.2769960098572573
0.5 3.737626115895552
0.4 4.136123752806098
0.3 4.540029946586664
0.2 4.945924920568033
0.1 5.351368963099411
0.0 5.756312557260471
